"","Duration","LR_Scale","DataSet","Den_Mem","Den_pH","Den_pH_Var"
"1",1950,".015 (Biased)","GISTEMP","3",0.00999999999999983,2.83425219700005e-32
"2",1950.18229166667,".015 (Biased)","GISTEMP","3",0.012845468511534,1.73507202197048e-33
"3",1950.36458333333,".015 (Biased)","GISTEMP","3",0.0164871221750951,1.1571966457642e-31
"4",1950.546875,".015 (Biased)","GISTEMP","3",0.0211390663340655,2.00509260538964e-31
"5",1950.72916666667,".015 (Biased)","GISTEMP","3",0.027067461848372,1.94340115571958e-31
"6",1950.91145833333,".015 (Biased)","GISTEMP","3",0.0345996924338081,9.33083176259682e-32
"7",1951.09375,".015 (Biased)","GISTEMP","3",0.0441328857345437,9.31203514902547e-31
"8",1951.27604166667,".015 (Biased)","GISTEMP","3",0.0390884300698289,3.32025309982074e-31
"9",1951.45833333333,".015 (Biased)","GISTEMP","3",0.0345996924338081,8.50185290765537e-32
"10",1951.640625,".015 (Biased)","GISTEMP","3",0.0306100007607881,2.02545560342527e-32
"11",1951.82291666667,".015 (Biased)","GISTEMP","3",0.027067461848372,2.0677479839608e-31
"12",1952.00520833333,".015 (Biased)","GISTEMP","3",0.0239247875168817,1.73507202197048e-31
"13",1952.1875,".015 (Biased)","GISTEMP","3",0.0211390663340655,2.13136729143305e-31
"14",1952.36979166667,".015 (Biased)","GISTEMP","3",0.0159363187983037,9.54410103196402e-32
"15",1952.55208333333,".015 (Biased)","GISTEMP","3",0.0119983758989988,7.53069453980244e-35
"16",1952.734375,".015 (Biased)","GISTEMP","3",0.00902459418144805,1.08442001373155e-34
"17",1952.91666666667,".015 (Biased)","GISTEMP","3",0.0067828003991579,6.33331410797385e-34
"18",1953.09895833333,".015 (Biased)","GISTEMP","3",0.00509502603451306,1.14541863950395e-33
"19",1953.28125,".015 (Biased)","GISTEMP","3",0.00382560547157331,3.33026139286414e-33
"20",1953.46354166667,".015 (Biased)","GISTEMP","3",0.00345035470808451,3.74294345364531e-33
"21",1953.64583333333,".015 (Biased)","GISTEMP","3",0.00311179703066954,1.45794246290575e-33
"22",1953.828125,".015 (Biased)","GISTEMP","3",0.00280636595256804,1.80811975900657e-33
"23",1954.01041666667,".015 (Biased)","GISTEMP","3",0.00253083763111482,1.84520842961509e-33
"24",1954.19270833333,".015 (Biased)","GISTEMP","3",0.00228229869983255,1.11623719816222e-33
"25",1954.375,".015 (Biased)","GISTEMP","3",0.00205811697892839,3.98373741155549e-34
"26",1954.55729166667,".015 (Biased)","GISTEMP","3",0.00250193985415783,1.69440627145555e-36
"27",1954.73958333333,".015 (Biased)","GISTEMP","3",0.00304117929873414,1.9973284593191e-33
"28",1954.921875,".015 (Biased)","GISTEMP","3",0.00369620957718641,3.01227781592098e-34
"29",1955.10416666667,".015 (Biased)","GISTEMP","3",0.00449168917470288,8.20092635384486e-34
"30",1955.28645833333,".015 (Biased)","GISTEMP","3",0.00545743010885561,1.03095208249895e-33
"31",1955.46875,".015 (Biased)","GISTEMP","3",0.00662942856555844,1.80924936318754e-32
"32",1955.65104166667,".015 (Biased)","GISTEMP","3",0.00892221220340633,4.12380832999582e-33
"33",1955.83333333333,".015 (Biased)","GISTEMP","3",0.0119983758989991,8.30063274955184e-32
"34",1956.015625,".015 (Biased)","GISTEMP","3",0.0161178783783527,2.71105003432888e-33
"35",1956.19791666667,".015 (Biased)","GISTEMP","3",0.021620812525531,5.73658187263991e-32
"36",1956.38020833333,".015 (Biased)","GISTEMP","3",0.0289472704546839,3.77860129229127e-32
"37",1956.5625,".015 (Biased)","GISTEMP","3",0.0386582858344935,3.48219315520465e-31
"38",1956.74479166667,".015 (Biased)","GISTEMP","3",0.0365748687432129,2.54959194339552e-32
"39",1956.92708333333,".015 (Biased)","GISTEMP","3",0.0345996924338081,4.33768005492621e-32
"40",1957.109375,".015 (Biased)","GISTEMP","3",0.0327275593795653,5.93828399519398e-31
"41",1957.29166666667,".015 (Biased)","GISTEMP","3",0.0309534764943998,6.07395698802306e-32
"42",1957.47395833333,".015 (Biased)","GISTEMP","3",0.0292726520434136,3.64485615726438e-32
"43",1957.65625,".015 (Biased)","GISTEMP","3",0.0276804919713482,2.89479898110006e-31
"44",1957.83854166667,".015 (Biased)","GISTEMP","3",0.0239247875168817,1.27829021396423e-31
"45",1958.02083333333,".015 (Biased)","GISTEMP","3",0.0206678274636474,0
"46",1958.203125,".015 (Biased)","GISTEMP","3",0.0178461415172341,1.23382899340123e-32
"47",1958.38541666667,".015 (Biased)","GISTEMP","3",0.015403628515914,1.73507202197048e-33
"48",1958.56770833333,".015 (Biased)","GISTEMP","3",0.0132908863670748,3.71142749699624e-32
"49",1958.75,".015 (Biased)","GISTEMP","3",0.0114645510673744,3.32103629205288e-32
"50",1958.93229166667,".015 (Biased)","GISTEMP","3",0.0114645510673744,3.32103629205288e-32
"51",1959.11458333333,".015 (Biased)","GISTEMP","3",0.0114645510673744,3.32103629205288e-32
"52",1959.296875,".015 (Biased)","GISTEMP","3",0.0114645510673744,3.32103629205288e-32
"53",1959.47916666667,".015 (Biased)","GISTEMP","3",0.0114645510673744,3.32103629205288e-32
"54",1959.66145833333,".015 (Biased)","GISTEMP","3",0.0114645510673744,3.32103629205288e-32
"55",1959.84375,".015 (Biased)","GISTEMP","3",0.0114645510673744,3.32103629205288e-32
"56",1960.02604166667,".015 (Biased)","GISTEMP","3",0.0119983758989991,7.61533954642982e-32
"57",1960.20833333333,".015 (Biased)","GISTEMP","3",0.0125567415232446,1.08442001373155e-32
